                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.3229,                0.69062,                 1.1155,                0.92712,                0.85598,                0.92997,                0.56163,                 1.4104,                0.64187,                 1.1927,             0.00079233,             0.00079233,             0.00079233
                     55,                  1.318,                0.68887,                 1.1151,                0.92202,                0.86349,                 0.9302,                0.57566,                 1.3895,                0.62931,                 1.1783,             0.00077582,             0.00077582,             0.00077582
                     56,                  1.301,                0.68312,                 1.1111,                0.91975,                0.85349,                0.92035,                0.57511,                  1.356,                0.63598,                 1.1628,             0.00075932,             0.00075932,             0.00075932
                     57,                  1.308,                0.67878,                 1.1068,                0.92345,                0.84355,                0.92758,                0.57986,                  1.352,                0.62179,                 1.1614,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.2968,                0.68537,                 1.1073,                0.90879,                0.86506,                0.92543,                0.57641,                 1.3683,                0.63037,                 1.1724,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.2944,                0.67503,                 1.1038,                0.91995,                0.86081,                0.92901,                0.57795,                 1.3541,                0.62174,                 1.1706,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.3131,                0.68124,                 1.1094,                0.93007,                0.85323,                0.92835,                 0.5915,                 1.3149,                0.61321,                 1.1531,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.2937,                0.67703,                 1.1073,                0.91303,                0.87784,                0.92952,                 0.5748,                 1.3753,                0.62523,                 1.1773,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.2898,                0.66994,                 1.1045,                0.92456,                 0.8617,                0.93303,                0.57818,                 1.3621,                0.61783,                 1.1746,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.2949,                0.66972,                  1.111,                0.91768,                0.86238,                0.92854,                0.58194,                 1.3374,                0.62557,                 1.1655,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.2916,                0.67991,                 1.1073,                0.92596,                0.86012,                0.92793,                0.58613,                  1.345,                0.61631,                 1.1675,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.2872,                 0.6697,                 1.1026,                 0.9207,                0.87106,                0.93115,                0.58811,                 1.3277,                 0.6056,                 1.1561,             0.00061079,             0.00061079,             0.00061079
